id,current_name,new_name,path,severity,issues,mime_type
1BPUF35O4vRvH_nr2RqwGO34N6WYZbwSp,2024-11-25 – Wordpress-playground-guide-introduction – Thumbnail Pinterest.jpg,2024-11-25 - Wordpress-playground-guide-introduction - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-11-25 – Wordpress-playground-guide-introduction – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1BSjaojpjEJXSj-Csr07pYhxWCm_mZ_wM,2024-11-25 – Tester-wordpress-playground-en-ligne – Thumbnail Pinterest.jpg,2024-11-25 - Tester-wordpress-playground-en-ligne - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-11-25 – Tester-wordpress-playground-en-ligne – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1EtuN53Ot9UcHmfM28WlLU6_XP4fr2gXm,2024-12-05 – Creation-site-wordpress-sur-mesure – Thumbnail Pinterest.jpg,2024-12-05 - Creation-site-wordpress-sur-mesure - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-12-05 – Creation-site-wordpress-sur-mesure – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1Eso7rl_O0SSWfU8LVhVdfW3I0f5gbIt8,2024-12-05 – Avantages-site-wordpress-sur-mesure – Thumbnail Pinterest.jpg,2024-12-05 - Avantages-site-wordpress-sur-mesure - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-12-05 – Avantages-site-wordpress-sur-mesure – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1L9d5hfICoa_9Q11xn4Of9Wxo_MIrYHpz,2024-12-18 – Creez-communaute-wordpress-fluentcommunity-plugin – Thumbnail Pinterest.jpg,2024-12-18 - Creez-communaute-wordpress-fluentcommunity-plugin - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-12-18 – Creez-communaute-wordpress-fluentcommunity-plugin – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1L86QWUJs4jbR7cxA3dZj5E0i6HdUnWCE,2024-12-18 – Fluentcommunity-construire-communaute-wordpress-facilement – Thumbnail Pinterest.jpg,2024-12-18 - Fluentcommunity-construire-communaute-wordpress-facilement - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-12-18 – Fluentcommunity-construire-communaute-wordpress-facilement – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1OszjGjYs-_ugATBRbHiZFdsn_1Tkw1VR,2024-12-30 – Thot-seo-outil-optimisation-semantique – Thumbnail Pinterest.jpg,2024-12-30 - Thot-seo-outil-optimisation-semantique - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-12-30 – Thot-seo-outil-optimisation-semantique – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1OtmvfcMaNseIvv4Wmi6Mpohr3xkuXf0M,2024-12-30 – Thot-seo-outil-semantique-dominer-google – Thumbnail Pinterest.jpg,2024-12-30 - Thot-seo-outil-semantique-dominer-google - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2024-12-30 – Thot-seo-outil-semantique-dominer-google – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1Pvh6K16MCbrQzQ1-FkSTQ5LTKtD1HGrC,2025-01-02 – Quest-ce-que-gutenberg-wordpress – Thumbnail Pinterest.jpg,2025-01-02 - Quest-ce-que-gutenberg-wordpress - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-01-02 – Quest-ce-que-gutenberg-wordpress – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1ZzWc_xn24UQyZak_hEAekOKEfjWb1yuN,2025-01-16 – Plugin-wordpress-traduction-optimise-seo – Thumbnail Pinterest.jpg,2025-01-16 - Plugin-wordpress-traduction-optimise-seo - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-01-16 – Plugin-wordpress-traduction-optimise-seo – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
